['02232', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02406', '399', 'O', 'O', '404', '405', '400', '393']
['02233', '671', '689', '702', '742', '640', 'Oz', 'Oz']
['02407', '94', '90', '108', '106', '47', '48', 'O']
['02235', 'O', 'O', '477', '477', '477', '779', '476']
['02411', '698', 'O', 'O', '689', '700', '770', '671']
['02237', 'I-GO', 'I-GO', 'I-GO', '572', '393', '488', '787']
['02414', '193', '195', '79', '97', 'O', '194', '95']
['02241', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02426', '346', 'O', 'O', 'O', '369', '392', '491']
['02244', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02428', '106', '80', '75', 'O', '101', '44', '191']
['02246', '742', '680', 'O', 'O', '650', '646', '694']
['02429', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02247', '143', '143', '193', '193', 'O', 'O', '74']
['02434', '205', '205', '205', 'O', '205', '205', '205']
['02248', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O', 'O']
['02437', '48', 'O', 'O', '270', '51', '476', '487']
['02249', '186', '186', '186', 'Oz', '186', 'O', 'O']
['02441', '206', '206', '206', '205', 'O', '265', '206']
['02250', '77', '89', '92', 'O', '172', '69', '190']
['02449', '775', '775', '775', '775', '775', 'Oz', 'O']
['02252', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', 'Oz', 'Oz']
['02450', '111', '111', 'Oz', '110', '111', '93', 'O']
['02253', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02455', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02322', '107', '107', '40', 'O', 'O', '75', '185']
['02457', '44', '44', '44', '96', '96', 'O', 'O']
['02325', '573', '573', '573', '573', '573', 'O', 'O']
['02458', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02326', '709', 'O', '640', '640', '707', 'O', 'O']
['02462', '791', '643', 'O', 'O', '642', '690', '670']
['02328', '342', '408', '390', '567', '411', 'O', 'O']
['02466', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02329', '395', '409', '347', 'O', 'O', '345', '567']
['02470', '505', '505', '505', '505', '505', 'O', 'O']
['02334', '404', '396', 'O', 'O', '351', '391', '392']
['02472', 'O', '71', '82', '142', '94', '71', 'O']
['02335', '471', '470', 'O', '371', '471', '344', '645']
['02473', 'O', 'O', '677', '778', 'O', '786', '690']
['02337', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02477', '677', '794', '770', 'O', '702', '740', '693']
['02350', '408', '567', '340', '374', 'O', '340', '506']
['02484', 'O', 'O', '399', '347', 'O', '371', '470']
['02486', '406', '406', '405', '405', '406', 'O', 'O']
['02584', '711', '711', 'O', '669', '742', '698', '785']
['02488', '178', 'O', '51', '70', '73', '99', 'O']
['02585', '71', '196', '175', '89', '52', '139', 'O']
['02490', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02586', '491', '371', '491', '394', '379', '490', 'O']
['02493', '195', '40', 'Oz', 'Oz', 'O', '100', '90']
['02587', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02494', '389', 'O', 'O', 'O', '389', '389', '391']
['02588', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02497', '401', '401', '401', '399', '404', 'Oz', '396']
['02589', '383', '490', '381', '375', '381', '571', 'O']
['02500', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02591', '669', 'O', 'O', 'O', '787', '790', '790']
['02507', '377', '382', '398', '491', 'O', 'O', 'O']
['02593', '490', 'O', '490', '490', '490', '349', '488']
['02513', '108', '108', '107', '107', '49', 'O', 'O']
['02601', '174', '174', '174', 'O', '174', '172', '178']
['02514', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02609', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02515', 'O', 'O', '646', '770', '770', '649', 'O']
['02610', 'O', 'O', '177', '177', '177', '175', 'Oz']
['02516', 'O', '343', '442', '401', '401', 'O', 'O']
['02611', 'O', '472', '350', '377', 'O', 'O', 'O']
['02517', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02614', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02521', 'O', 'O', '709', '696', '776', '792', 'O']
