['02414', '43', '79', 'O', '191', '191', 'Oz', 'Oz']
['02235', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'I-BP', 'Ob', 'Ob']
['02426', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02237', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02429', '790', '790', '790', '790', '790', 'O', '788']
['02241', '698', '698', '572', 'O-LR', 'Oz', '697', '648']
['02434', '187', '187', '187', 'O', 'O', 'O', '187']
['02244', 'O', 'O', '108', '77', '40', 'O', '42']
['02437', '174', '94', '192', 'O', '45', '270', 'O']
['02246', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02441', '170', '75', '185', '170', '185', '265', 'O']
['02247', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02449', '775', '775', '775', '775', '775', 'Oz', 'O']
['02248', 'I-BO', 'I-BO', 'I-BO', '49', '94', '173', 'Oz']
['02450', '93', '92', '93', 'O', '91', '89', 'O']
['02249', '142', '142', '142', '142', '142', 'O', 'O']
['02455', 'O', 'O', 'O', '43', '110', '77', '89']
['02250', '79', '43', '77', '185', 'O', 'O', '69']
['02457', '108', '73', '143', '40', '140', 'Oz', 'Oz']
['02252', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02462', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02253', 'Oz', '47', '91', '187', '75', '185', 'O']
['02466', '389', '389', '389', '567', '389', '390', 'O']
['02322', '71', '191', '40', '108', '172', '71', 'O']
['02470', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02326', '699', '693', '696', '696', '696', '696', 'O']
['02472', '172', '69', 'O', 'O', '49', '96', '70']
['02328', '379', '408', '379', '344', '475', 'Oz', 'Oz']
['02473', '671', '785', '649', 'O', '671', '645', '770']
['02329', '371', '407', '347', '440', '374', '391', 'O']
['02477', '787', '644', 'Oz', 'O-LR', 'O', '675', '773']
['02334', '350', '430', 'Oz', '438', '397', '341', 'O']
['02484', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02335', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02486', '398', '398', '398', 'O', 'O', '393', '572']
['02337', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02488', '97', '45', '94', '177', '192', '141', 'O']
['02350', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02490', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'I-PN', 'O', 'O']
['02354', '186', '270', '174', 'Oz', '97', '43', 'O']
['02493', '48', '185', '46', 'Oz', '46', '94', '265']
['02363', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02494', '392', 'O', '392', '389', '391', '389', 'O']
['02367', '491', '491', '490', '490', '491', '490', 'O']
['02497', '395', '395', '395', '395', '395', 'O', 'O']
['02368', '709', '679', 'O', 'O', '773', '788', '672']
['02500', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02371', '92', 'Oz', '92', '92', '92', '92', 'O']
['02507', '373', '470', '491', '408', '379', '349', 'O']
['02513', 'O', 'O', '189', '265', '93', '187', 'O']
['02601', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02514', '641', 'O', 'O', '572', '690', 'O', '472']
['02609', '77', '170', '170', '175', '170', 'Oz', 'Oz']
['02515', 'O', '690', '791', '699', '707', 'Oz', 'Oz']
['02610', '471', 'O', 'O', '471', '471', '477', '476']
['02516', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02611', 'I-GO', 'Oz', '371', '476', '409', '374', 'O']
['02517', '399', '399', '399', 'Oz', 'Oz', '392', '392']
['02614', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02521', 'O', '676', '644', '370', 'O', 'O', '485']
['02616', 'O', '41', '107', 'O', 'O', '72', '40']
['02522', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02621', '649', '789', '695', '679', 'O', 'O', '438']
['02523', '340', '401', '396', '343', 'O', '432', '389']
['02626', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02526', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02634', 'O', '742', '742', '742', 'Oz', 'Oz', '735']
['02528', '94', 'O', '188', '42', 'O', 'O', '172']
['02637', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02530', '785', '648', '679', 'O', 'O', 'O', '374']
['02641', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02534', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02643', '478', '478', 'Oz', '478', '478', 'O', 'O']
['02536', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02647', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02537', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02650', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', 'O']
['02545', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '394', '567']
['02654', '778', '778', '778', 'O', 'O', '773', '693']
