['00641', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Oz', '']
['02232', 'O', '110', '45', '78', '75', '440', '']
['02406', '396', '406', '404', '401', 'O', 'O', '']
['02233', '647', '642', '345', 'O', '776', '677', '']
['02407', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', '139', '']
['02235', '475', '477', '477', '477', '477', 'O', '']
['02411', 'O', '690', '794', '786', '806', 'O', '']
['02237', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02414', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02241', '874', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02426', 'Oz', 'Oz', '493', '371', '371', '371', '']
['02244', 'O', '108', '44', '107', '185', '45', '']
['02428', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02246', '695', '739', 'O', '700', '793', '648', '']
['02429', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02247', '44', '102', '95', '82', '41', '98', '']
['02434', 'O', '206', '206', 'Oz', '205', '206', '']
['02248', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02437', 'O', '174', '174', '50', '78', '47', '']
['02249', 'O', '186', '186', '487', '186', 'O', '']
['02441', 'O', '205', '205', '205', '206', '205', '']
['02250', '172', '90', '108', 'O', '193', '178', '']
['02449', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02252', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02450', '205', '106', '111', '206', '106', '265', '']
['02253', '191', 'Oz', 'Oz', '49', '101', '75', '']
['02455', '89', '185', '94', '47', '94', '190', '']
['02322', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02457', 'Oz', '69', '193', '195', '44', '72', '']
['02325', 'O', '573', '572', '276', '573', 'O', '']
['02458', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', '']
['02326', 'Og', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'O', '']
