['02232', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02406', 'I-GO', 'I-GO', 'I-GO', 'O', '401', '400', '398']
['02233', '786', 'O', '700', '700', '708', 'Oz', 'Oz']
['02407', '193', '40', '142', '79', 'O', 'O', 'O']
['02235', 'I-GO', '477', '477', '477', '477', '779', '476']
['02411', 'I-GO', 'I-GO', '343', '671', '698', '648', '789']
['02237', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02414', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02241', '776', 'O', '913', '874', '912', '912', '874']
['02426', '369', '369', 'O', '374', '398', '369', '390']
['02244', '97', 'O', 'O', '142', '175', '178', 'O']
['02428', '103', '91', '82', '205', 'O', '74', '175']
['02246', '794', '742', '742', 'O', 'O', '645', '640']
['02429', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02247', '44', '47', '91', '49', 'O', '173', '70']
['02434', '205', '205', 'Oz', 'O', '205', '205', '205']
['02248', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02437', 'Oz', 'I-DK', 'I-DK', '83', '105', '371', '371']
['02249', '186', '186', '186', '186', '186', 'O', 'O']
['02441', '206', '206', '206', '206', '176', 'O', 'O']
['02250', '43', 'O', 'O', 'O', '143', '71', '44']
['02449', '775', '775', '775', '775', '775', 'Oz', 'O']
['02252', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02450', '107', '111', '176', 'O', '206', '98', '94']
['02253', '40', 'O', 'O', '44', '98', '265', '74']
['02455', '52', '178', '192', '73', '93', 'O', 'O']
['02322', '191', '191', '90', 'O', 'O', '40', '89']
['02457', '195', '98', '41', '82', 'O', 'O', 'O']
['02325', '573', '573', '573', '573', '573', 'O', 'O']
['02458', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'I-BO', 'Ob', 'Ob']
['02326', '652', 'O', 'O', '372', '652', '646', '675']
['02462', '677', '785', '786', 'O', 'O', '700', '692']
['02328', '51', 'Oz', '342', '382', '382', 'O', 'O']
['02466', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'I-GO', 'Og', 'Og']
['02329', '351', '342', '347', 'O', 'O', '343', '348']
['02470', '505', '505', '505', '505', '505', 'Oz', 'Oz']
['02334', '390', '398', 'Oz', '395', '389', '370', '396']
['02472', '71', '142', '193', '69', '191', 'O', 'O']
